                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3197,                0.67485,                 1.1386,                 1.6678,                0.92246,                 1.0865,                 0.8576,                0.66208,                0.72986,                0.41266,                 1.2698,                0.51557,                  1.105,                 1.5256,                0.67663,                 1.0634,               0.003466,               0.003466,               0.003466
                     36,                 1.3118,                0.66456,                   1.14,                  1.652,                0.91112,                 1.0872,                0.85893,                0.66221,                0.73017,                0.41305,                 1.2689,                0.51459,                  1.105,                 1.5241,                0.67557,                 1.0631,               0.003268,               0.003268,               0.003268
                     37,                 1.3097,                0.66434,                 1.1348,                 1.6503,                0.90722,                 1.0816,                0.85965,                 0.6623,                0.73046,                0.41362,                 1.2676,                0.51357,                 1.1048,                  1.522,                0.67524,                 1.0629,                0.00307,                0.00307,                0.00307
                     38,                 1.3011,                0.65451,                 1.1378,                 1.6325,                0.89262,                 1.0845,                0.85965,                0.66263,                0.73112,                0.41416,                 1.2666,                0.51271,                 1.1051,                 1.5208,                0.67399,                 1.0629,               0.002872,               0.002872,               0.002872
                     39,                 1.3022,                0.65564,                 1.1313,                 1.6418,                0.89612,                 1.0781,                 0.8593,                0.66393,                0.73177,                0.41473,                 1.2654,                0.51207,                 1.1049,                 1.5193,                0.67328,                 1.0626,               0.002674,               0.002674,               0.002674
                     40,                 1.2896,                0.64433,                 1.1268,                 1.6325,                0.88236,                 1.0743,                0.85776,                0.66516,                0.73224,                0.41489,                 1.2647,                0.51112,                 1.1045,                 1.5187,                0.67189,                 1.0624,               0.002476,               0.002476,               0.002476
                     41,                  1.227,                0.56812,                 1.1304,                  1.471,                0.72078,                 1.0947,                0.85817,                0.66581,                0.73259,                0.41542,                 1.2633,                0.51007,                 1.1038,                 1.5164,                0.67105,                 1.0616,               0.002278,               0.002278,               0.002278
                     42,                 1.2189,                0.56075,                 1.1248,                 1.4632,                0.70988,                 1.0909,                0.85934,                 0.6663,                0.73319,                0.41603,                 1.2619,                0.50925,                 1.1029,                 1.5152,                0.66807,                 1.0612,                0.00208,                0.00208,                0.00208
                     43,                 1.2126,                0.55208,                  1.126,                 1.4598,                0.70568,                 1.0885,                0.86028,                0.66635,                0.73366,                0.41669,                  1.261,                0.50859,                 1.1026,                 1.5133,                0.66657,                 1.0607,               0.001882,               0.001882,               0.001882
                     44,                 1.2096,                0.54976,                 1.1244,                 1.4559,                0.70041,                  1.087,                0.86072,                0.66641,                0.73386,                0.41749,                 1.2598,                0.50783,                 1.1022,                 1.5115,                0.66604,                 1.0601,               0.001684,               0.001684,               0.001684
                     45,                 1.2035,                0.54047,                 1.1186,                 1.4483,                0.68852,                 1.0819,                 0.8611,                0.66688,                0.73428,                 0.4179,                 1.2586,                0.50704,                 1.1016,                   1.51,                0.66502,                 1.0595,               0.001486,               0.001486,               0.001486
                     46,                 1.1964,                0.53701,                 1.1152,                 1.4419,                0.68459,                 1.0784,                0.86119,                0.66699,                 0.7347,                0.41838,                 1.2572,                0.50632,                 1.1011,                 1.5085,                 0.6639,                 1.0593,               0.001288,               0.001288,               0.001288
                     47,                 1.1902,                0.52951,                 1.1108,                 1.4331,                0.67795,                 1.0752,                0.86203,                0.66714,                0.73487,                0.41878,                  1.256,                0.50564,                 1.1007,                 1.5068,                0.66286,                 1.0588,                0.00109,                0.00109,                0.00109
                     48,                 1.1827,                 0.5236,                 1.1096,                 1.4233,                0.66512,                 1.0753,                0.86166,                0.66764,                0.73512,                0.41907,                 1.2549,                 0.5049,                 1.1002,                 1.5058,                0.66163,                 1.0587,               0.000892,               0.000892,               0.000892
                     49,                 1.1759,                0.51649,                 1.1077,                  1.419,                0.65907,                  1.071,                0.86054,                0.66789,                0.73514,                0.41943,                 1.2541,                0.50425,                    1.1,                 1.5046,                0.66121,                 1.0582,               0.000694,               0.000694,               0.000694
                     50,                 1.1748,                0.51218,                 1.1015,                 1.4171,                0.65875,                 1.0653,                0.85937,                0.66874,                0.73526,                0.41967,                 1.2531,                0.50352,                 1.0995,                 1.5036,                0.66021,                 1.0577,               0.000496,               0.000496,               0.000496
